A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,Time,Type
9,10,8,7,6,5,4,3,2,1,0,0.00000670016743,insertion
8,9,10,7,6,5,4,3,2,1,0,0.00001640012488,insertion
7,8,9,10,6,5,4,3,2,1,0,0.00001960014924,insertion
6,7,8,9,10,5,4,3,2,1,0,0.00002120016143,insertion
5,6,7,8,9,10,4,3,2,1,0,0.00002250005491,insertion
4,5,6,7,8,9,10,3,2,1,0,0.00002510007471,insertion
3,4,5,6,7,8,9,10,2,1,0,0.00002620019950,insertion
2,3,4,5,6,7,8,9,10,1,0,0.00002740020864,insertion
1,2,3,4,5,6,7,8,9,10,0,0.00002859998494,insertion
0,1,2,3,4,5,6,7,8,9,10,0.00002979999408,insertion
